id,chinese,math,english,physics,chemistry,biology
stu-000,81,14,3,94,35,31
stu-001,28,17,94,13,86,94
stu-002,69,11,75,54,4,3
stu-003,11,27,29,64,77,3
stu-004,71,25,91,83,89,69
stu-005,53,28,57,75,35,0
stu-006,97,20,89,54,43,35
stu-007,19,27,97,43,13,11
stu-008,48,12,45,44,77,33
stu-009,5,93,58,68,15,48
stu-010,10,70,37,80,79,46
stu-011,73,24,90,8,5,84
stu-012,29,98,37,10,29,12
stu-013,48,35,58,81,46,20
stu-014,47,45,26,85,34,89
stu-015,87,82,9,77,81,21
stu-016,68,93,31,20,59,48
stu-017,34,81,88,71,28,87
stu-018,41,98,99,7,29,4
stu-019,40,51,34,8,27,72
stu-020,91,40,27,83,63,50
stu-021,82,58,18,33,17,31
stu-022,95,71,68,33,95,74
stu-023,54,74,51,46,28,17
stu-024,65,63,11,96,6,14
stu-025,19,80,20,87,54,76
stu-026,8,49,48,76,59,67
stu-027,32,70,1,87,92,14
stu-028,87,68,96,34,98,82
stu-029,43,14,37,55,20,58
stu-030,0,92,92,33,64,97
stu-031,22,64,13,80,38,81
stu-032,64,77,25,19,47,97
stu-033,20,69,99,67,0,76
stu-034,41,62,2,14,46,39
stu-035,30,7,30,72,10,10
stu-036,93,62,8,97,68,98
stu-037,16,16,84,60,70,21
stu-038,33,67,77,54,27,69
stu-039,96,93,88,25,91,39
stu-040,51,85,83,47,56,66
stu-041,57,15,31,28,8,43
stu-042,2,75,70,29,75,28
stu-043,0,9,90,80,7,29
stu-044,8,4,42,9,65,30
stu-045,35,85,62,27,69,16
stu-046,92,73,73,60,31,100
stu-047,60,52,24,12,12,84
stu-048,55,45,54,52,59,93
stu-049,6,86,83,82,12,7
