Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.146.128-223.109.115.3-49726-80-6,192.168.146.128,49726,223.109.115.3,80,6,15/10/2025 09:57:55 上午,33537,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,89.4534394847482,16768.5,23256.03492644436,33213.0,324.0,0,0,0,0,0,33537.0,16768.5,23256.03492644436,33213.0,324.0,0,0,0,0,0,60,0.0,89.4534394847482,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,64239,0,0,0,0,0,0,0,0,0,0,No Label
192.168.146.128-39.91.130.1-49727-80-6,192.168.146.128,49727,39.91.130.1,80,6,15/10/2025 09:57:55 上午,45661,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,65.70158340816013,22830.5,32079.313342090103,45514.0,147.0,0,0,0,0,0,45661.0,22830.5,32079.313342090103,45514.0,147.0,0,0,0,0,0,60,0.0,65.70158340816013,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,64239,0,0,0,0,0,0,0,0,0,0,No Label
192.168.146.128-72.147.149.16-49747-443-6,192.168.146.128,49747,72.147.149.16,443,6,15/10/2025 09:57:55 上午,1020076,11,15,2115.0,5391.0,1324.0,0.0,192.27272727272728,388.71714418303986,1460.0,0.0,359.4,598.5241133703089,7358.2752657645115,25.4882969504233,40803.03999999999,72603.5238971911,187054.0,0.0,843440.0,84344.0,101403.721684934,244102.0,51.0,1018085.0,72720.35714285714,87061.78775807368,187054.0,0.0,0,0,0,0,220,316,10.783510248256013,14.70478670216729,0.0,1460.0,278.0,510.7972652176656,260913.84615384619,0,1,0,0,0,0,0,0,1.0,288.6923076923077,192.27272727272728,359.4,0,0,0,0,0,0,11,2115,15,5391,-1,64240,6,0,0,0,0,0,0,0,0,0,No Label
192.168.146.128-72.147.149.16-49747-443-6,72.147.149.16,443,192.168.146.128,49747,6,15/10/2025 09:57:56 上午,196501,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.178065251576328,196501.0,0.0,196501.0,196501.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,5.089032625788164,5.089032625788164,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,64239,0,0,0,0,0,0,0,0,0,0,No Label
192.168.146.128-10.252.113.105-49762-7680-6,192.168.146.128,49762,10.252.113.105,7680,6,15/10/2025 09:58:03 上午,1205620,3,4,75.0,0.0,75.0,0.0,25.0,43.30127018922193,0.0,0.0,0.0,0.0,62.20865612713791,5.806141238532872,200936.66666666666,399202.5616018348,1011499.0,110.0,103709.0,51854.5,72938.77158617356,103430.0,279.0,1205620.0,401873.3333333334,617911.9669615837,1114819.0,20976.0,0,0,0,0,72,96,2.4883462450855163,3.317794993447355,0.0,75.0,9.375,26.516504294495533,703.125,0,1,0,0,0,0,0,0,1.0,10.714285714285714,25.0,0.0,0,0,0,0,0,0,3,75,4,0,-1,64240,1,0,0,0,0,0,0,0,0,0,No Label
192.168.146.128-10.252.113.105-49762-7680-6,192.168.146.128,49762,10.252.113.105,7680,6,15/10/2025 09:58:04 上午,135,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14814.814814814814,135.0,0.0,135.0,135.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,7407.407407407407,7407.407407407407,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
192.168.146.128-20.190.148.163-49684-443-6,192.168.146.128,49684,20.190.148.163,443,6,15/10/2025 09:58:17 上午,172651,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,17.37609396991619,86325.5,200.11121907579295,86467.0,86184.0,0,0,0,0,0,172651.0,86325.5,200.11121907579295,86467.0,86184.0,0,0,0,0,0,60,0.0,17.37609396991619,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,64239,0,0,0,0,0,0,0,0,0,0,No Label
192.168.146.128-40.74.79.222-49708-443-6,192.168.146.128,49708,40.74.79.222,443,6,15/10/2025 09:58:19 上午,157008,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,19.10730663405686,78504.0,15116.528768206013,89193.0,67815.0,0,0,0,0,0,157008.0,78504.0,15116.528768206013,89193.0,67815.0,0,0,0,0,0,60,0.0,19.10730663405686,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,64239,0,0,0,0,0,0,0,0,0,0,No Label
192.168.146.128-52.109.56.129-49700-443-6,192.168.146.128,49700,52.109.56.129,443,6,15/10/2025 09:58:19 上午,245054,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,12.242199678438222,122527.0,47179.57865432883,155888.0,89166.0,0,0,0,0,0,245054.0,122527.0,47179.57865432883,155888.0,89166.0,0,0,0,0,0,60,0.0,12.242199678438222,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,64239,0,0,0,0,0,0,0,0,0,0,No Label
192.168.146.128-13.105.28.1-49703-443-6,192.168.146.128,49703,13.105.28.1,443,6,15/10/2025 09:58:19 上午,360583,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8.319859782629797,180291.5,128971.32714095796,271488.0,89095.0,0,0,0,0,0,360583.0,180291.5,128971.32714095796,271488.0,89095.0,0,0,0,0,0,60,0.0,8.319859782629797,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,64239,0,0,0,0,0,0,0,0,0,0,No Label
