Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.146.128-61.213.168.58-53069-443-6,192.168.146.128,53069,61.213.168.58,443,6,15/10/2025 01:38:42 下午,45001029,1,3,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.33333333333333337,0.5773502691896257,0.044443428171386926,0.08888685634277385,1.5000343E7,2.5980794157350328E7,4.500038E7,111.0,0,0,0,0,0,4.5001029E7,2.25005145E7,3.1820375788567055E7,4.5000918E7,111.0,0,0,0,0,20,60,0.022221714085693463,0.06666514225708038,0.0,1.0,0.6,0.5477225575051661,0.29999999999999993,0,0,0,0,1,0,0,0,3.0,0.75,1.0,0.3333333333333333,0,0,0,0,0,0,1,1,3,1,-1,64240,1,0,111.0,0.0,111.0,111.0,4.500038E7,0.0,4.500038E7,4.500038E7,No Label
192.168.146.128-40.99.65.114-53167-443-6,192.168.146.128,53167,40.99.65.114,443,6,15/10/2025 01:39:00 下午,140,0,2,0.0,1.0,0,0,0,0,1.0,0.0,0.5,0.7071067811865476,7142.857142857143,14285.714285714286,140.0,0.0,140.0,140.0,0,0,0,0,0,140.0,140.0,0.0,140.0,140.0,0,0,0,0,0,40,0.0,14285.714285714286,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.5,0,0,0,0,0,0,0,0,2,1,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
192.168.146.128-13.107.213.50-53089-443-6,192.168.146.128,53089,13.107.213.50,443,6,15/10/2025 01:39:07 下午,195,0,2,0.0,1.0,0,0,0,0,1.0,0.0,0.5,0.7071067811865476,5128.205128205128,10256.410256410256,195.0,0.0,195.0,195.0,0,0,0,0,0,195.0,195.0,0.0,195.0,195.0,0,0,0,0,0,40,0.0,10256.410256410256,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.5,0,0,0,0,0,0,0,0,2,1,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
192.168.146.128-52.182.141.63-53189-443-6,192.168.146.128,53189,52.182.141.63,443,6,15/10/2025 01:38:59 下午,1067658,7,14,1525.0,6782.0,1136.0,0.0,217.8571428571429,415.6498640969458,1460.0,0.0,484.4285714285714,658.7084932812686,7780.581422140798,19.669219918738023,53382.90000000001,114982.1700204908,406676.0,0.0,818357.0,136392.83333333334,165066.67744571183,407169.0,376.0,1067544.0,82118.76923076922,135565.09092139333,406676.0,0.0,0,0,0,0,140,296,6.556406639579341,13.112813279158681,0.0,1460.0,377.5909090909091,583.8389911032558,340867.9675324676,0,1,0,0,0,0,0,0,2.0,395.57142857142856,217.85714285714286,484.42857142857144,0,0,0,0,0,0,7,1525,14,6782,-1,64240,3,0,0,0,0,0,0,0,0,0,No Label
192.168.146.128-192.168.146.2-60814-53-17,192.168.146.128,60814,192.168.146.2,53,17,15/10/2025 01:39:00 下午,400082,1,3,44.0,286.0,44.0,44.0,44.0,0.0,121.0,44.0,95.33333333333333,44.45597072760118,824.830909663519,9.997950420163866,133360.6666666667,167802.32361422572,327041.0,31666.0,0,0,0,0,0,400082.0,200041.0,179605.12242138307,327041.0,73041.0,0,0,0,0,8,24,2.4994876050409665,7.4984628151229,44.0,121.0,74.8,42.174636927897794,1778.7,0,0,0,0,0,0,0,0,3.0,93.5,44.0,95.33333333333333,0,0,0,0,0,0,1,44,3,286,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
192.168.146.128-116.153.78.190-53123-443-6,192.168.146.128,53123,116.153.78.190,443,6,15/10/2025 01:39:17 下午,188,0,2,0.0,1.0,0,0,0,0,1.0,0.0,0.5,0.7071067811865476,5319.148936170213,10638.297872340427,188.0,0.0,188.0,188.0,0,0,0,0,0,188.0,188.0,0.0,188.0,188.0,0,0,0,0,0,40,0.0,10638.297872340427,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.5,0,0,0,0,0,0,0,0,2,1,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
192.168.146.128-23.44.229.102-53082-443-6,192.168.146.128,53082,23.44.229.102,443,6,15/10/2025 01:38:35 下午,45015537,1,3,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.33333333333333337,0.5773502691896257,0.04442910455561154,0.08885820911122308,1.5005179E7,2.598954274510271E7,4.5015318E7,104.0,0,0,0,0,0,4.5015537E7,2.25077685E7,3.1830644393243447E7,4.5015433E7,104.0,0,0,0,0,20,60,0.02221455227780577,0.06664365683341732,0.0,1.0,0.6,0.5477225575051661,0.29999999999999993,0,0,0,0,1,0,0,0,3.0,0.75,1.0,0.3333333333333333,0,0,0,0,0,0,1,1,3,1,-1,64240,1,0,104.0,0.0,104.0,104.0,4.5015318E7,0.0,4.5015318E7,4.5015318E7,No Label
192.168.146.128-20.210.166.59-53161-443-6,192.168.146.128,53161,20.210.166.59,443,6,15/10/2025 01:38:53 下午,107,0,2,0.0,1.0,0,0,0,0,1.0,0.0,0.5,0.7071067811865476,9345.794392523365,18691.58878504673,107.0,0.0,107.0,107.0,0,0,0,0,0,107.0,107.0,0.0,107.0,107.0,0,0,0,0,0,40,0.0,18691.58878504673,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.5,0,0,0,0,0,0,0,0,2,1,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
192.168.146.128-192.168.146.2-65343-53-17,192.168.146.128,65343,192.168.146.2,53,17,15/10/2025 01:38:43 下午,250959,1,3,45.0,275.0,45.0,45.0,45.0,0.0,115.0,45.0,91.66666666666667,40.414518843273804,1275.1086830916604,15.938858538645755,83653.0,91101.83050301459,188813.0,28712.0,0,0,0,0,0,250959.0,125479.5,89567.09465255642,188813.0,62146.0,0,0,0,0,8,24,3.984714634661439,11.954143903984317,45.0,115.0,73.0,38.34057902536163,1470.0,0,0,0,0,0,0,0,0,3.0,91.25,45.0,91.66666666666667,0,0,0,0,0,0,1,45,3,275,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
192.168.146.128-192.168.146.2-137-137-17,192.168.146.128,137,192.168.146.2,137,17,15/10/2025 01:38:58 下午,3015870,2,1,136.0,68.0,68.0,68.0,68.0,0.0,68.0,68.0,68.0,0.0,67.6421729053308,0.9947378368431,1507935.0,9558.66946807975,1514694.0,1501176.0,1501176.0,1501176.0,0.0,1501176.0,1501176.0,0,0,0,0,0,0,0,0,0,16,8,0.6631585578954,0.3315792789477,68.0,68.0,68.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,90.66666666666667,68.0,68.0,0,0,0,0,0,0,2,136,1,68,-1,-1,2,0,0,0,0,0,0,0,0,0,No Label
